original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	50	509	1.0	0	0.01	ld	193.5	191.6	195.5	0.00368	0.00198	360991	509.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	51	508	1.0	0	0.01	ld	191.9	190.0	193.8	0.0037	0.00198	362685	508.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	52	505	1.0	0	0.01	ld	185.2	183.4	187.0	0.00377	0.00199	361837	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	53	508	1.0	0	0.01	ld	188.6	186.7	190.5	0.00373	0.00198	360146	508.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	54	513	1.0	0	0.01	ld	188.0	186.1	189.9	0.00372	0.00196	358459	513.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	55	518	1.0	0	0.01	ld	186.5	184.7	188.4	0.00371	0.00194	356777	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	56	518	1.0	0	0.01	ld	185.0	183.2	186.8	0.00372	0.00194	359303	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	57	520	1.0	0	0.01	ld	182.0	180.3	183.8	0.00375	0.00193	355934	520.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	58	518	1.0	0	0.01	ld	182.8	181.1	184.6	0.00374	0.00194	355096	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	59	528	1.0	0	0.01	ld	183.4	181.6	185.2	0.0037	0.00191	352581	528.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	60	523	1.0	0	0.01	ld	184.5	182.7	186.3	0.00371	0.00192	352583	523.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	61	516	1.0	0	0.01	ld	182.2	180.5	184.0	0.00376	0.00195	354254	516.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	62	522	1.0	0	0.01	ld	180.9	179.2	182.7	0.00375	0.00193	351743	522.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	63	524	1.0	0	0.01	ld	182.3	180.5	184.1	0.00373	0.00192	351744	524.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	64	518	1.0	0	0.01	ld	181.6	179.9	183.4	0.00376	0.00194	350908	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	65	517	1.0	0	0.01	ld	178.3	176.5	180.0	0.00379	0.00195	348409	517.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	66	519	1.0	0	0.01	ld	179.9	178.1	181.6	0.00377	0.00194	348409	519.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	67	532	1.0	0	0.01	ld	176.4	174.8	178.1	0.00376	0.00189	347579	532.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	68	520	1.0	0	0.01	ld	180.3	178.6	182.1	0.00376	0.00193	350072	520.0
